,C_YEAR,C_MNTH,C_WDAY,C_HOUR,C_SEV,C_VEHS,C_CONF,C_RCFG,C_WTHR,C_RSUR,C_RALN,C_TRAF,V_ID,V_TYPE,V_YEAR,P_ID,P_SEX,P_AGE,P_PSN,P_ISEV,P_SAFE,P_USER
105,6,10,0,17,1,0,5,1,0,0,0,16,25,0,0,1,2,75,13,2,6,3
106,5,11,0,20,1,0,5,1,0,9,0,16,0,1,50,1,1,50,1,2,2,1
107,2,10,1,16,1,0,18,1,1,1,1,1,0,1,50,1,1,29,1,1,2,1
108,11,11,3,22,1,1,15,1,0,1,0,0,0,1,60,1,1,63,1,2,2,1
109,3,8,6,10,1,0,3,10,1,0,2,16,0,1,54,1,1,16,1,2,2,1
110,8,8,3,12,1,1,15,2,0,0,0,2,1,1,51,1,2,27,1,1,0,1
111,7,7,2,8,1,1,15,1,0,0,6,16,1,1,48,1,1,18,1,0,0,1
112,0,3,0,14,1,1,0,0,0,0,0,16,0,1,40,2,2,02,3,2,2,2
113,10,8,6,10,1,1,6,1,2,1,0,0,0,1,51,1,2,43,1,2,2,1
114,7,0,2,13,1,0,2,0,0,0,0,16,0,1,54,1,1,60,1,1,2,1
115,6,1,1,8,1,1,6,1,0,3,0,0,0,1,58,1,2,45,1,1,0,1
116,11,9,2,11,1,1,6,1,0,0,0,1,0,9,62,1,1,44,1,2,2,5
117,3,11,1,18,1,1,6,1,0,9,0,16,1,1,41,3,2,48,9,1,2,2
118,7,9,3,15,1,0,5,0,0,1,0,16,0,8,60,3,2,62,4,2,6,2
119,2,8,0,4,1,0,5,1,2,1,0,0,0,1,55,1,2,58,1,2,7,1
120,12,6,2,16,1,1,6,0,0,0,0,16,1,1,61,1,2,22,1,2,2,1
121,2,0,4,17,1,1,6,0,2,1,1,16,1,1,53,1,1,20,1,1,2,1
122,7,6,3,11,1,1,15,1,0,0,0,0,0,9,57,1,1,42,1,1,0,5
123,7,4,1,17,1,1,6,1,0,0,0,2,1,1,54,1,1,37,1,1,0,1
